date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:10:55	52367/52367	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/processor-control-instructions/nop	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/processor-control-instructions/nop.html	(from https://sites.google.com/site/microprocessorsbits/)
10:10:57	49594/49594	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/processor-control-instructions/stc	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/processor-control-instructions/stc.html	(from https://sites.google.com/site/microprocessorsbits/)
10:10:58	49698/49698	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/processor-control-instructions/std	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/processor-control-instructions/std.html	(from https://sites.google.com/site/microprocessorsbits/)
10:10:59	50085/50085	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/processor-control-instructions/sti	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/processor-control-instructions/sti.html	(from https://sites.google.com/site/microprocessorsbits/)
10:11:02	51237/51237	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/processor-control-instructions/wait	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/processor-control-instructions/wait.html	(from https://sites.google.com/site/microprocessorsbits/)
10:11:03	52243/52243	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/program-execution-transfer-instructions	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/program-execution-transfer-instructions.html	(from https://sites.google.com/site/microprocessorsbits/)
10:11:05	57253/57253	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/program-execution-transfer-instructions/call	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/program-execution-transfer-instructions/call.html	(from https://sites.google.com/site/microprocessorsbits/)
10:11:06	52169/52169	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/program-execution-transfer-instructions/enter	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/program-execution-transfer-instructions/enter.html	(from https://sites.google.com/site/microprocessorsbits/)
10:11:07	63234/63234	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/program-execution-transfer-instructions/int	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/program-execution-transfer-instructions/int.html	(from https://sites.google.com/site/microprocessorsbits/)
10:11:08	55878/55878	---MCZ	200	added ('OK')	text/html	etag:%221486051552000|#public|0|en|||0|-37060450|146526622%22	https://sites.google.com/site/microprocessorsbits/program-execution-transfer-instructions/into	/home/naveen/websites/muPbits/sites.google.com/site/microprocessorsbits/program-execution-transfer-instructions/into.html	(from https://sites.google.com/site/microprocessorsbits/)
